"d","density"
32.55,0.00480192076830691
32.65,0.00320128051220506
32.75,0.00240096038415363
32.85,0.00560224089635846
32.95,0.000800320128051266
33.05,0.0016006402561023
33.15,0.0024009603841538
33.25,0.00240096038415363
33.35,0.00240096038415363
33.45,0.0024009603841538
33.55,0.0016006402561023
33.65,0.000800320128051266
33.75,0.00160064025610242
33.85,0.00320128051220484
33.95,0.000800320128051266
34.05,0.0016006402561023
34.15,0.00160064025610253
34.25,0.00240096038415363
34.35,0
34.45,0.00160064025610253
34.55,0
34.65,0
34.75,0.00160064025610242
34.85,0.00480192076830725
34.95,0.00160064025610253
35.05,0.00240096038415346
35.15,0.00160064025610253
35.25,0.000800320128051209
35.35,0.000800320128051209
35.45,0.00160064025610253
35.55,0
35.65,0.00160064025610253
35.75,0
35.85,0.00160064025610242
35.95,0
36.05,0
36.15,0
36.25,0
36.35,0
36.45,0.00160064025610253
36.55,0.000800320128051152
36.65,0.000800320128051266
36.75,0
36.85,0
36.95,0
37.05,0
37.15,0
37.25,0
37.35,0
37.45,0.000800320128051209
37.55,0
37.65,0
37.75,0
37.85,0
37.95,0
38.05,0
38.15,0
38.25,0
38.35,0
38.45,0
38.55,0
38.65,0
38.75,0
38.85,0
38.95,0.000800320128051209
39.05,0
39.15,0
39.25,0
39.35,0
39.45,0
39.55,0
39.65,0
39.75,0
39.85,0
39.95,0
40.05,0
40.15,0
40.25,0
40.35,0
40.45,0
40.55,0
40.65,0
40.75,0
40.85,0
40.95,0
41.05,0
41.15,0
41.25,0
41.35,0
41.45,0
41.55,0
41.65,0
41.75,0
41.85,0
41.95,0
42.05,0
42.15,0
42.25,0
42.35,0
42.45,0
42.55,0
42.65,0
42.75,0
42.85,0
42.95,0
43.05,0
43.15,0
43.25,0
43.35,0.000800320128051209
